city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
柳州,柳州,134,8858.0,9507.291044776119,90.0,104.05
黄山,黄山,59,8854.0,9249.271186440677,78.0,90.0
咸阳,咸阳,60,8824.0,9379.65,94.05,109.5
宜城,宜城,60,8820.0,8898.983333333334,90.0,105.3
庐江,庐江,86,8740.0,10339.197674418605,90.0,101.5
桦甸,桦甸,44,8733.0,9152.25,97.75,97.5
昌黎,昌黎,70,8718.5,8904.414285714285,69.5,84.0
新沂,新沂,113,8673.0,10210.663716814159,99.0,103.0
济宁,济宁,116,8662.0,8601.422413793103,92.5,123.95
江阴,江阴,61,8647.0,10380.95081967213,86.8,92.0
兰考,兰考,60,8626.5,9352.616666666667,90.0,112.0
深州,深州,44,8614.0,8601.34090909091,86.69999999999999,99.0
永安,永安,60,8612.0,9149.55,74.0,88.8
沭阳,沭阳,119,8592.0,8074.117647058823,95.0,118.0
邹平,邹平,118,8504.0,7841.745762711865,89.95,120.0
长治,长治,94,8476.5,8426.627659574468,91.0,104.5
蚌埠,蚌埠,98,8445.5,8486.285714285714,86.5,107.5
南安,南安,85,8433.0,10184.023529411765,87.0,118.0
五河,五河,60,8402.0,8834.0,87.5,107.0
东台,东台,120,8400.0,8953.4,89.9,105.285
绵阳,绵阳,120,8389.0,8671.133333333333,85.9,103.0
辛集,辛集,117,8376.0,10637.08547008547,89.0,96.0
九江,九江,61,8333.0,8577.606557377048,90.0,110.0
秦皇岛,秦皇岛,79,8286.0,8957.556962025317,63.5,80.0
三明,三明,120,8261.0,8507.633333333333,76.0,94.935
冀州,冀州,51,8250.0,8280.549019607843,78.6,95.0
固镇,固镇,23,8190.0,8923.434782608696,90.0,108.0
海盐,海盐,120,8187.0,8357.633333333333,68.0,87.0
玉山,玉山,60,8177.5,8239.066666666668,85.0,114.0
衡水,衡水,93,8160.0,8256.086021505376,82.0,103.0
如皋,如皋,96,8154.0,8392.614583333334,97.0,120.0
南平,南平,120,8134.5,7985.658333333334,87.5,112.0
吉安,吉安,110,8122.5,8151.209090909091,89.4,110.0
德州,德州,119,8108.0,8432.420168067227,85.0,99.0
马鞍山,马鞍山,118,8053.0,8161.483050847458,83.0,98.82
上饶,上饶,116,8033.5,8313.284482758621,91.0,119.0
浏阳,浏阳,130,8029.5,8945.2,86.0,115.5
招远,招远,146,8028.0,8966.22602739726,79.5,96.53999999999999
安庆,安庆,107,8019.0,7997.794392523365,80.0,106.0
邓州,邓州,80,7947.5,8003.7875,78.75,114.15
青龙,青龙,99,7907.0,8351.0101010101,61.0,80.0
吉林,吉林,60,7896.5,8769.55,75.4,93.0
新乡,新乡,120,7884.5,7966.183333333333,83.0,109.5
清镇,清镇,116,7884.0,8545.094827586207,82.9,117.0
林芝,林芝,71,7857.0,8394.239436619719,41.0,50.0
雅安,雅安,120,7847.5,7611.083333333333,80.0,103.5
甘孜,甘孜,32,7838.5,7625.125,74.5,99.845
临朐,临朐,60,7779.0,8234.366666666667,86.5,115.0
邢台,邢台,119,7778.0,7102.705882352941,81.0,114.0
包头,包头,140,7768.0,7606.542857142857,65.95,91.36500000000001
池州,池州,116,7762.5,7448.862068965517,75.0,102.75
迁安,迁安,101,7692.0,9912.029702970298,78.0,91.56
肥城,肥城,118,7677.0,8456.22033898305,87.95,103.5
青州,青州,94,7664.0,7816.351063829788,86.5,115.0
潍坊,潍坊,100,7657.5,8057.75,85.0,115.5
北海,北海,140,7609.0,8308.25,60.0,83.39
六安,六安,124,7589.0,7753.282258064516,80.0,104.95
新泰,新泰,120,7549.5,7980.383333333333,76.9,106.5
铜陵,铜陵,119,7531.0,7563.53781512605,75.0,105.0
荆州,荆州,120,7528.5,7507.683333333333,89.5,121.44999999999999
诸城,诸城,36,7502.5,7887.555555555556,78.4,108.0
石狮,石狮,83,7500.0,9294.204819277109,90.0,119.0
莱州,莱州,117,7487.0,8693.28205128205,68.0,93.0
清远,清远,137,7449.0,7592.912408759124,76.0,104.0
霍邱,霍邱,49,7419.0,7527.163265306122,78.0,105.0
茂名,茂名,118,7387.5,7331.296610169492,88.4,128.0
普洱,普洱,115,7381.0,7633.826086956522,70.0,105.0
常德,常德,60,7351.5,7610.166666666667,78.4,109.0
银川,银川,86,7340.0,7384.046511627907,85.25,124.5
齐河,齐河,117,7333.0,7625.324786324786,80.0,105.0
东营,东营,118,7297.0,7158.720338983051,96.5,130.75
